name,club,position,age,goals,assists,transfer_value,log_transfer_value
Amine Adli,Bournemouth,Offence,26,0,0,20000000.0,16.811242881518265
Rayan,Bournemouth,Offence,20,0,0,60000000.0,17.909855136853043
Gabriel Magalhães,Arsenal,Defence,28,0,0,75000000.0,18.132998684833918
Martinelli,Arsenal,Offence,25,0,0,45000000.0,17.622173069956816
Victor Nilsson-Lindelöf,Aston Villa,Defence,32,0,0,5000000.0,15.424948670398354
Jamie Bynoe-Gittens,Chelsea,Offence,22,0,0,30000000.0,17.216707972959764
Vitalii Mykolenko,Everton,Defence,27,0,0,25000000.0,17.034386422832473
Joshua King,Fulham,Midfield,19,1,0,25000000.0,17.034386422832473
Alisson Becker,Liverpool,Goalkeeper,33,0,0,15000000.0,16.52356082573315
Valentino Livramento,Newcastle,Defence,23,0,0,45000000.0,17.622173069956816
Reinildo,Sunderland,Defence,32,0,0,4000000.0,15.201805169084134
Daniel Ballard,Sunderland,Defence,26,0,0,20000000.0,16.811242881518265
Jocelin Bi,Sunderland,Offence,21,0,0,2500000.0,14.731801689838349
Mickey van de Ven,Tottenham,Defence,25,0,0,50000000.0,17.72753358339242
John,Nottingham,Goalkeeper,30,0,0,5000000.0,15.424948670398354
Thomas McGill,Brighton Hove,Goalkeeper,26,0,0,500000.0,13.122365377402328
Yankubah Minteh,Brighton Hove,Offence,22,0,0,45000000.0,17.622173069956816
Hákon Rafn Valdimarsson,Brentford,Goalkeeper,24,0,0,2500000.0,14.731801689838349
Thiago,Brentford,Offence,25,0,0,65000000.0,17.989897843244528
Đorđe Petrović,Bournemouth,Goalkeeper,26,0,0,28000000.0,17.147715103853763
