name,team,reason
Jacob Greaves,Ipswich Town,unmatched name
Abdoul Ouattara,Ipswich Town,unmatched name
Azor Matusiwa,Ipswich Town,unmatched name
Exequiel Palacios,Ipswich Town,unmatched name
Saša Lukić,Ipswich Town,unmatched name
Florentino,Ipswich Town,unmatched name
Julio Enciso,Ipswich Town,unmatched name
Jack Clarke,Ipswich Town,unmatched name
Chuba Akpom,Ipswich Town,unmatched name
Daizen Maeda,Ipswich Town,unmatched name
Zian Flemming,Ipswich Town,unmatched name
Jaden Philogene-Bidace,Ipswich Town,unmatched name
Emersonn,Ipswich Town,unmatched name
Abdul Issahaku,Ipswich Town,unmatched name
Sindre Egeli,Ipswich Town,unmatched name
Steven Benda,Nottingham,unmatched name
Daniel Muñoz,Nottingham,unmatched name
Luca Netz,Nottingham,unmatched name
Jair Paula,Nottingham,unmatched name
Ousmane Diomande,Nottingham,unmatched name
Xaver Schlager,Nottingham,unmatched name
Arnaud Kalimuendo,Nottingham,unmatched name
Liam Delap,Nottingham,unmatched name
Axel Disasi,Crystal Palace,unmatched name
Ben Chilwell,Crystal Palace,unmatched name
Takehiro Tomiyasu,Crystal Palace,unmatched name
Óscar Mingueza,Crystal Palace,unmatched name
Anan Khalaili,Crystal Palace,unmatched name
Honest Ahanor,Crystal Palace,unmatched name
Quinten Timber,Crystal Palace,unmatched name
Dwight McNeil,Crystal Palace,unmatched name
Yeremi Pino,Crystal Palace,unmatched name
Matheus Franca,Crystal Palace,unmatched name
Darío Osorio,Crystal Palace,unmatched name
Jesurun Rak-Sakyi,Crystal Palace,unmatched name
Jørgen Strand Larsen,Crystal Palace,unmatched name
Zavier Gozo,Crystal Palace,unmatched name
Pascal Struijk,Brighton Hove,unmatched name
Michael Svoboda,Brighton Hove,unmatched name
Jaouen Hadjam,Brighton Hove,unmatched name
Costinha,Brighton Hove,unmatched name
Luka Vušković,Brighton Hove,unmatched name
Matt O'Riley,Brighton Hove,unmatched name
Pascal Groß,Brighton Hove,unmatched name
Chema Andrés,Brighton Hove,unmatched name
Evan Ferguson,Brighton Hove,unmatched name
Ibrahim Osman,Brighton Hove,unmatched name
Promise Akinpelu,Brighton Hove,unmatched name
Zadok Yohanna,Brighton Hove,unmatched name
El Hadji Malick Diouf,Brentford,unmatched name
Ji-soo Kim,Brentford,unmatched name
Jannik Schuster,Brentford,unmatched name
Benjamin Fredrick,Brentford,unmatched name
Mamadou Sangare,Brentford,unmatched name
Callum Wilson,Brentford,unmatched name
Jaidon Anthony,Brentford,unmatched name
Gustavo Gomes,Brentford,unmatched name
Kaye Furo,Brentford,unmatched name
Michele Di Gregorio,Bournemouth,unmatched name
Max Aarons,Bournemouth,unmatched name
Juanlu,Bournemouth,unmatched name
Antonio Silva,Bournemouth,unmatched name
Daniel Jebbison,Bournemouth,unmatched name
Ben Doak,Bournemouth,unmatched name
Alvaro Rodriguez,Bournemouth,unmatched name
Eli Kroupi,Bournemouth,unmatched name
Daniel Bentley,Coventry City,promoted-club gap (club not present in player_values.csv)
Ben Wilson,Coventry City,promoted-club gap (club not present in player_values.csv)
Carl Rushworth,Coventry City,promoted-club gap (club not present in player_values.csv)
Jake Bidwell,Coventry City,promoted-club gap (club not present in player_values.csv)
Luke Woolfenden,Coventry City,promoted-club gap (club not present in player_values.csv)
Ethan Pinnock,Coventry City,promoted-club gap (club not present in player_values.csv)
Jay Dasilva,Coventry City,promoted-club gap (club not present in player_values.csv)
Milan van Ewijk,Coventry City,promoted-club gap (club not present in player_values.csv)
Joel Latibeaudiere,Coventry City,promoted-club gap (club not present in player_values.csv)
Bobby Thomas,Coventry City,promoted-club gap (club not present in player_values.csv)
Aurele Amenda,Coventry City,promoted-club gap (club not present in player_values.csv)
Kaine Kesler,Coventry City,promoted-club gap (club not present in player_values.csv)
Stephen Mfuni,Coventry City,promoted-club gap (club not present in player_values.csv)
Matt Grimes,Coventry City,promoted-club gap (club not present in player_values.csv)
Gustavo Hamer,Coventry City,promoted-club gap (club not present in player_values.csv)
Victor Torp,Coventry City,promoted-club gap (club not present in player_values.csv)
Frank Onyeka,Coventry City,promoted-club gap (club not present in player_values.csv)
Josh Eccles,Coventry City,promoted-club gap (club not present in player_values.csv)
Jack Rudoni,Coventry City,promoted-club gap (club not present in player_values.csv)
Caleb Yirenkyi,Coventry City,promoted-club gap (club not present in player_values.csv)
Ephron Mason-Clark,Coventry City,promoted-club gap (club not present in player_values.csv)
Brandon Thomas-Asante,Coventry City,promoted-club gap (club not present in player_values.csv)
Taiwo Awoniyi,Coventry City,promoted-club gap (club not present in player_values.csv)
Haji Wright,Coventry City,promoted-club gap (club not present in player_values.csv)
Tatsuhiro Sakamoto,Coventry City,promoted-club gap (club not present in player_values.csv)
Ellis Simms,Coventry City,promoted-club gap (club not present in player_values.csv)
Loum Tchaouna,Coventry City,promoted-club gap (club not present in player_values.csv)
Sidiki Cherif,Coventry City,promoted-club gap (club not present in player_values.csv)
Tom Heaton,Man United,"low-value outlier, distorts target skew"
Mark Gillespie,Newcastle,"low-value outlier, distorts target skew"
Simon Moore,Sunderland,"low-value outlier, distorts target skew"
Alex Cairns,Leeds United,"low-value outlier, distorts target skew"
Remi Matthews,Crystal Palace,"low-value outlier, distorts target skew"
Thomas King,Everton,"low-value outlier, distorts target skew"
